start,end,value
0.0,0.01,-9.9474736e7
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,1278.0
0.04,0.05,2822.4
0.05,0.06,4206.9
0.06,0.07,5485.0
0.07,0.08,6656.5
0.08,0.09,7668.3
0.09,0.1,8573.6
0.1,0.11,9372.4
0.11,0.12,10117.9
0.12,0.13,10756.9
0.13,0.14,11502.4
0.14,0.15,12141.5
0.15,0.16,12780.5
0.16,0.17,13419.5
0.17,0.18,13952.0
0.18,0.19,14591.0
0.19,0.2,15230.1
0.2,0.21,15762.6
0.21,0.22,16401.6
0.22,0.23,16934.1
0.23,0.24,17466.7
0.24,0.25,18105.7
0.25,0.26,18531.7
0.26,0.27,19170.7
0.27,0.28,19703.2
0.28,0.29,20235.8
0.29,0.3,20661.8
0.3,0.31,21194.3
0.31,0.32,21726.8
0.32,0.33,22259.3
0.33,0.34,22791.9
0.34,0.35,23324.4
0.35,0.36,23750.4
0.36,0.37,24389.4
0.37,0.38,24921.9
0.38,0.39,25348.0
0.39,0.4,25987.0
0.4,0.41,26519.5
0.41,0.42,27052.0
0.42,0.43,27584.5
0.43,0.44,28117.1
0.44,0.45,28649.6
0.45,0.46,29288.6
0.46,0.47,29927.6
0.47,0.48,30460.1
0.48,0.49,31099.2
0.49,0.5,31738.2
0.5,0.51,32377.2
0.51,0.52,33016.2
0.52,0.53,33655.3
0.53,0.54,34294.3
0.54,0.55,34933.3
0.55,0.56,35572.3
0.56,0.57,36317.9
0.57,0.58,36956.9
0.58,0.59,37808.9
0.59,0.6,38447.9
0.6,0.61,39193.5
0.61,0.62,40045.5
0.62,0.63,40791.0
0.63,0.64,41643.1
0.64,0.65,42495.1
0.65,0.66,43347.1
0.66,0.67,44199.2
0.67,0.68,45051.2
0.68,0.69,46009.7
0.69,0.7,47074.8
0.7,0.71,48033.3
0.71,0.72,48991.8
0.72,0.73,50056.9
0.73,0.74,51121.9
0.74,0.75,52187.0
0.75,0.76,53358.5
0.76,0.77,54743.1
0.77,0.78,56127.6
0.78,0.79,57618.7
0.79,0.8,59109.7
0.8,0.81,60707.3
0.81,0.82,62411.3
0.82,0.83,64221.9
0.83,0.84,66139.0
0.84,0.85,68056.1
0.85,0.86,70292.6
0.86,0.87,72635.7
0.87,0.88,75191.8
0.88,0.89,77960.9
0.89,0.9,81369.1
0.9,0.91,85096.7
0.91,0.92,89569.9
0.92,0.93,94788.6
0.93,0.94,101072.3
0.94,0.95,108634.1
0.95,0.96,119284.5
0.96,0.97,134195.0
0.97,0.98,156560.9
0.98,0.99,198097.4
0.99,0.991,300341.3
0.991,0.992,320577.0
0.992,0.993,344007.9
0.993,0.9940000000000001,372764.0
0.9940000000000001,0.995,408975.3
0.995,0.996,454772.1
0.996,0.997,521869.6
0.997,0.998,618788.3
0.998,0.9990000000000001,797714.9
0.9990000000000001,0.9991,1.2460968e6
0.9991,0.9992,1.3419504e6
0.9992,0.9993000000000001,1.4591048e6
0.9993000000000001,0.9994,1.59756e6
0.9994,0.9995,1.7679664e6
0.9995,0.9995999999999999,2.0022751e6
0.9995999999999999,0.9997,2.3217873e6
0.9997,0.9998,2.8543073e6
0.9998,0.9998999999999999,3.7595913e6
0.9998999999999999,1.0,6.1133295e6
0.99991,0.99992,6.5925975e6
0.99992,0.99993,7.1570685e6
0.99993,0.99994,7.8493445e6
0.99994,0.99995,8.743978e6
0.99995,0.99996,9.915522e6
0.99996,0.99997,1.171544e7
0.99997,0.9999800000000001,1.437804e7
0.9999800000000001,0.9999899999999999,1.9277224e7
0.9999899999999999,1.0,3.0992664e7
